english,koreana
Play,플레이
Store,상점
Inventory,인벤토리
Battle Pass,배틀 패스
Simple,수록 곡
Challenges,도전과제
Generator,커스텀 곡
Workshop,워크샵
Ranking,랭킹
Music,음악
Guns,총
VIP & Other,VIP & 그 이외
Show,보여주기
Beat Dollars,
Alpha Key,알파키
Alpha Ingot,알파주괴
Alpha Chest,알파상자
Equip,알파상자
Equipped,장착됨
Edit,수정
Edit Raw,자세히 수정
Remove,지우기
Add,추가
Add from copied .json file or text,복사된 .json파일이나 텍스트로 추가하기
Search,검색
Clear,지우기
VIP days:,VIP 남은날:
Buy VIP,VIP 구매
Resume,다시시작
Settings,설정
Restart,처음부터 시작
Quit,나가기
Map score,맵 스코어
Combo score,콤보 스코어
Total score,총 스코어
Beat Coins,
Top Score,최고 스코어
Back,뒤로가기
Remove map,맵 지우기
Open folder,폴더열기
Advanced,
Play Test,테스트 플레이하기
Main,메인
Graphics,그래픽
Other,그 이외
Credits,제작진
Subscribe,
Unsubscribe,
Scaled,
Exact,
Diffculty Tags,
Small Targets,
Big Targets,
Infrequent,
Rapid,
Vertical,
Horizontal,
Spaced,
Crowded,
Tracking Only,
No Tracking,
Wide Area,
Narrow Area,
Reflex,
Arrows Only,
Show maps with music on top,
Other,
More,
Gun model by ,
Open,
Download,
Cancel,
Quit to menu,
Do you really want to quit to menu?,
Yes,
No,
VIP Perks,
1 month,
3 months,
access to map generator with any music,
priority support and founder role on discord,
discord,